emoji,description,aliases,tags,category,unicode_version,ios_version
👟,running shoe,athletic_shoe,sneaker sport running,Objects,6.0,6.0
🥾,hiking boot,hiking_boot,,Objects,11.0,12.1
🥿,flat shoe,flat_shoe,,Objects,11.0,12.1
👠,high-heeled shoe,high_heel,shoe,Objects,6.0,6.0
👡,woman’s sandal,sandal,shoe,Objects,6.0,6.0
🩰,ballet shoes,ballet_shoes,,Objects,12.0,13.0
👢,woman’s boot,boot,,Objects,6.0,6.0
🪮,hair pick,hair_pick,,Objects,15.0,16.4
👑,crown,crown,king queen royal,Objects,6.0,6.0
👒,woman’s hat,womans_hat,,Objects,6.0,6.0
🎩,top hat,tophat,hat classy,Objects,6.0,6.0
🎓,graduation cap,mortar_board,education college university graduation,Objects,6.0,6.0
🧢,billed cap,billed_cap,,Objects,11.0,12.1
🪖,military helmet,military_helmet,,Objects,13.0,14.0
⛑️,rescue worker’s helmet,rescue_worker_helmet,,Objects,5.2,9.1
📿,prayer beads,prayer_beads,,Objects,8.0,9.1
💄,lipstick,lipstick,makeup,Objects,6.0,6.0
💍,ring,ring,wedding marriage engaged,Objects,6.0,6.0
💎,gem stone,gem,diamond,Objects,6.0,6.0
🔇,muted speaker,mute,sound volume,Objects,6.0,6.0
🔈,speaker low volume,speaker,,Objects,6.0,6.0
🔉,speaker medium volume,sound,volume,Objects,6.0,6.0
🔊,speaker high volume,loud_sound,volume,Objects,6.0,6.0
📢,loudspeaker,loudspeaker,announcement,Objects,6.0,6.0
📣,megaphone,mega,,Objects,6.0,6.0
📯,postal horn,postal_horn,,Objects,6.0,6.0
🔔,bell,bell,sound notification,Objects,6.0,6.0
🔕,bell with slash,no_bell,volume off,Objects,6.0,6.0
🎼,musical score,musical_score,,Objects,6.0,6.0
🎵,musical note,musical_note,,Objects,6.0,6.0
🎶,musical notes,notes,music,Objects,6.0,6.0
🎙️,studio microphone,studio_microphone,podcast,Objects,7.0,9.1
🎚️,level slider,level_slider,,Objects,7.0,9.1
🎛️,control knobs,control_knobs,,Objects,7.0,9.1
🎤,microphone,microphone,sing,Objects,6.0,6.0
🎧,headphone,headphones,music earphones,Objects,6.0,6.0
📻,radio,radio,podcast,Objects,6.0,6.0
🎷,saxophone,saxophone,,Objects,6.0,6.0
🪗,accordion,accordion,,Objects,13.0,14.0
🎸,guitar,guitar,rock,Objects,6.0,6.0
🎹,musical keyboard,musical_keyboard,piano,Objects,6.0,6.0
🎺,trumpet,trumpet,,Objects,6.0,6.0
🎻,violin,violin,,Objects,6.0,6.0
🪕,banjo,banjo,,Objects,12.0,13.0
🥁,drum,drum,,Objects,,10.2
🪘,long drum,long_drum,,Objects,13.0,14.0
🪇,maracas,maracas,shaker,Objects,15.0,16.4
🪈,flute,flute,recorder,Objects,15.0,16.4
📱,mobile phone,iphone,smartphone mobile,Objects,6.0,6.0
📲,mobile phone with arrow,calling,call incoming,Objects,6.0,6.0
☎️,telephone,phone telephone,,Objects,,6.0
📞,telephone receiver,telephone_receiver,phone call,Objects,6.0,6.0
📟,pager,pager,,Objects,6.0,6.0
📠,fax machine,fax,,Objects,6.0,6.0
🔋,battery,battery,power,Objects,6.0,6.0
🪫,low battery,low_battery,,Objects,14.0,15.4
🔌,electric plug,electric_plug,,Objects,6.0,6.0
💻,laptop,computer,desktop screen,Objects,6.0,6.0
🖥️,desktop computer,desktop_computer,,Objects,7.0,9.1
🖨️,printer,printer,,Objects,7.0,9.1
⌨️,keyboard,keyboard,,Objects,,9.1
🖱️,computer mouse,computer_mouse,,Objects,7.0,9.1
🖲️,trackball,trackball,,Objects,7.0,9.1
💽,computer disk,minidisc,,Objects,6.0,6.0
💾,floppy disk,floppy_disk,save,Objects,6.0,6.0
💿,optical disk,cd,,Objects,6.0,6.0
📀,dvd,dvd,,Objects,6.0,6.0
🧮,abacus,abacus,,Objects,11.0,12.1
🎥,movie camera,movie_camera,film video,Objects,6.0,6.0
🎞️,film frames,film_strip,,Objects,7.0,9.1
📽️,film projector,film_projector,,Objects,7.0,9.1
🎬,clapper board,clapper,film,Objects,6.0,6.0
📺,television,tv,,Objects,6.0,6.0
📷,camera,camera,photo,Objects,6.0,6.0
📸,camera with flash,camera_flash,photo,Objects,7.0,9.1
📹,video camera,video_camera,,Objects,6.0,6.0
📼,videocassette,vhs,,Objects,6.0,6.0
🔍,magnifying glass tilted left,mag,search zoom,Objects,6.0,6.0
🔎,magnifying glass tilted right,mag_right,,Objects,6.0,6.0
🕯️,candle,candle,,Objects,7.0,9.1
💡,light bulb,bulb,idea light,Objects,6.0,6.0
🔦,flashlight,flashlight,,Objects,6.0,6.0
🏮,red paper lantern,izakaya_lantern lantern,,Objects,6.0,6.0
🪔,diya lamp,diya_lamp,,Objects,12.0,13.0
📔,notebook with decorative cover,notebook_with_decorative_cover,,Objects,6.0,6.0
📕,closed book,closed_book,,Objects,6.0,6.0
📖,open book,book open_book,,Objects,6.0,6.0
📗,green book,green_book,,Objects,6.0,6.0
📘,blue book,blue_book,,Objects,6.0,6.0
📙,orange book,orange_book,,Objects,6.0,6.0
📚,books,books,library,Objects,6.0,6.0
📓,notebook,notebook,,Objects,6.0,6.0
📒,ledger,ledger,,Objects,6.0,6.0
📃,page with curl,page_with_curl,,Objects,6.0,6.0
📜,scroll,scroll,document,Objects,6.0,6.0
📄,page facing up,page_facing_up,document,Objects,6.0,6.0
📰,newspaper,newspaper,press,Objects,6.0,6.0
🗞️,rolled-up newspaper,newspaper_roll,press,Objects,7.0,9.1
📑,bookmark tabs,bookmark_tabs,,Objects,6.0,6.0
🔖,bookmark,bookmark,,Objects,6.0,6.0
🏷️,label,label,tag,Objects,7.0,9.1
💰,money bag,moneybag,dollar cream,Objects,6.0,6.0
🪙,coin,coin,,Objects,13.0,14.0
💴,yen banknote,yen,,Objects,6.0,6.0
💵,dollar banknote,dollar,money,Objects,6.0,6.0
💶,euro banknote,euro,,Objects,6.0,6.0
💷,pound banknote,pound,,Objects,6.0,6.0
💸,money with wings,money_with_wings,dollar,Objects,6.0,6.0
💳,credit card,credit_card,subscription,Objects,6.0,6.0
🧾,receipt,receipt,,Objects,11.0,12.1
💹,chart increasing with yen,chart,,Objects,6.0,6.0
✉️,envelope,envelope,letter email,Objects,,6.0
📧,e-mail,email e-mail,,Objects,6.0,6.0
📨,incoming envelope,incoming_envelope,,Objects,6.0,6.0
📩,envelope with arrow,envelope_with_arrow,,Objects,6.0,6.0
📤,outbox tray,outbox_tray,,Objects,6.0,6.0
📥,inbox tray,inbox_tray,,Objects,6.0,6.0
📦,package,package,shipping,Objects,6.0,6.0
📫,closed mailbox with raised flag,mailbox,,Objects,6.0,6.0
📪,closed mailbox with lowered flag,mailbox_closed,,Objects,6.0,6.0
📬,open mailbox with raised flag,mailbox_with_mail,,Objects,6.0,6.0
📭,open mailbox with lowered flag,mailbox_with_no_mail,,Objects,6.0,6.0
📮,postbox,postbox,,Objects,6.0,6.0
🗳️,ballot box with ballot,ballot_box,,Objects,7.0,9.1
✏️,pencil,pencil2,,Objects,,6.0
✒️,black nib,black_nib,,Objects,,6.0
🖋️,fountain pen,fountain_pen,,Objects,7.0,9.1
🖊️,pen,pen,,Objects,7.0,9.1
🖌️,paintbrush,paintbrush,,Objects,7.0,9.1
🖍️,crayon,crayon,,Objects,7.0,9.1
📝,memo,memo pencil,document note,Objects,6.0,6.0
💼,briefcase,briefcase,business,Objects,6.0,6.0
📁,file folder,file_folder,directory,Objects,6.0,6.0
📂,open file folder,open_file_folder,,Objects,6.0,6.0
🗂️,card index dividers,card_index_dividers,,Objects,7.0,9.1
📅,calendar,date,calendar schedule,Objects,6.0,6.0
📆,tear-off calendar,calendar,schedule,Objects,6.0,6.0
🗒️,spiral notepad,spiral_notepad,,Objects,7.0,9.1
🗓️,spiral calendar,spiral_calendar,,Objects,7.0,9.1
📇,card index,card_index,,Objects,6.0,6.0
📈,chart increasing,chart_with_upwards_trend,graph metrics,Objects,6.0,6.0
📉,chart decreasing,chart_with_downwards_trend,graph metrics,Objects,6.0,6.0
📊,bar chart,bar_chart,stats metrics,Objects,6.0,6.0
📋,clipboard,clipboard,,Objects,6.0,6.0
📌,pushpin,pushpin,location,Objects,6.0,6.0
📍,round pushpin,round_pushpin,location,Objects,6.0,6.0
📎,paperclip,paperclip,,Objects,6.0,6.0
🖇️,linked paperclips,paperclips,,Objects,7.0,9.1
📏,straight ruler,straight_ruler,,Objects,6.0,6.0
📐,triangular ruler,triangular_ruler,,Objects,6.0,6.0
✂️,scissors,scissors,cut,Objects,,6.0
🗃️,card file box,card_file_box,,Objects,7.0,9.1
🗄️,file cabinet,file_cabinet,,Objects,7.0,9.1
🗑️,wastebasket,wastebasket,trash,Objects,7.0,9.1
🔒,locked,lock,security private,Objects,6.0,6.0
🔓,unlocked,unlock,security,Objects,6.0,6.0
🔏,locked with pen,lock_with_ink_pen,,Objects,6.0,6.0
🔐,locked with key,closed_lock_with_key,security,Objects,6.0,6.0
🔑,key,key,lock password,Objects,6.0,6.0
🗝️,old key,old_key,,Objects,7.0,9.1
🔨,hammer,hammer,tool,Objects,6.0,6.0
🪓,axe,axe,,Objects,12.0,13.0
⛏️,pick,pick,,Objects,5.2,9.1
⚒️,hammer and pick,hammer_and_pick,,Objects,4.1,9.1
🛠️,hammer and wrench,hammer_and_wrench,,Objects,7.0,9.1
🗡️,dagger,dagger,,Objects,7.0,9.1
⚔️,crossed swords,crossed_swords,,Objects,4.1,9.1
💣,bomb,bomb,boom,Objects,6.0,6.0
🪃,boomerang,boomerang,,Objects,13.0,14.0
🏹,bow and arrow,bow_and_arrow,archery,Objects,8.0,9.1
🛡️,shield,shield,,Objects,7.0,9.1
🪚,carpentry saw,carpentry_saw,,Objects,13.0,14.0
🔧,wrench,wrench,tool,Objects,6.0,6.0
🪛,screwdriver,screwdriver,,Objects,13.0,14.0
🔩,nut and bolt,nut_and_bolt,,Objects,6.0,6.0
⚙️,gear,gear,,Objects,4.1,9.1
🗜️,clamp,clamp,,Objects,7.0,9.1
⚖️,balance scale,balance_scale,,Objects,4.1,9.1
🦯,white cane,probing_cane,,Objects,12.0,13.0
🔗,link,link,,Objects,6.0,6.0
⛓️,chains,chains,,Objects,5.2,9.1
🪝,hook,hook,,Objects,13.0,14.0
🧰,toolbox,toolbox,,Objects,11.0,12.1
🧲,magnet,magnet,,Objects,11.0,12.1
🪜,ladder,ladder,,Objects,13.0,14.0
⚗️,alembic,alembic,,Objects,4.1,9.1
🧪,test tube,test_tube,,Objects,11.0,12.1
🧫,petri dish,petri_dish,,Objects,11.0,12.1
🧬,dna,dna,,Objects,11.0,12.1
🔬,microscope,microscope,science laboratory investigate,Objects,6.0,6.0
🔭,telescope,telescope,,Objects,6.0,6.0
📡,satellite antenna,satellite,signal,Objects,6.0,6.0
💉,syringe,syringe,health hospital needle,Objects,6.0,6.0
🩸,drop of blood,drop_of_blood,,Objects,12.0,13.0
💊,pill,pill,health medicine,Objects,6.0,6.0
🩹,adhesive bandage,adhesive_bandage,,Objects,12.0,13.0
🩼,crutch,crutch,,Objects,14.0,15.4
🩺,stethoscope,stethoscope,,Objects,12.0,13.0
🩻,x-ray,x_ray,,Objects,14.0,15.4
🚪,door,door,,Objects,6.0,6.0
🛗,elevator,elevator,,Objects,13.0,14.0
🪞,mirror,mirror,,Objects,13.0,14.0
🪟,window,window,,Objects,13.0,14.0
🛏️,bed,bed,,Objects,7.0,9.1
🛋️,couch and lamp,couch_and_lamp,,Objects,7.0,9.1
🪑,chair,chair,,Objects,12.0,13.0
🚽,toilet,toilet,wc,Objects,6.0,6.0
🪠,plunger,plunger,,Objects,13.0,14.0
🚿,shower,shower,bath,Objects,6.0,6.0
🛁,bathtub,bathtub,,Objects,6.0,6.0
🪤,mouse trap,mouse_trap,,Objects,13.0,14.0
🪒,razor,razor,,Objects,12.0,13.0
🧴,lotion bottle,lotion_bottle,,Objects,11.0,12.1
🧷,safety pin,safety_pin,,Objects,11.0,12.1
🧹,broom,broom,,Objects,11.0,12.1
🧺,basket,basket,,Objects,11.0,12.1
🧻,roll of paper,roll_of_paper,toilet,Objects,11.0,12.1
🪣,bucket,bucket,,Objects,13.0,14.0
🧼,soap,soap,,Objects,11.0,12.1
🫧,bubbles,bubbles,,Objects,14.0,15.4
🪥,toothbrush,toothbrush,,Objects,13.0,14.0
🧽,sponge,sponge,,Objects,11.0,12.1
🧯,fire extinguisher,fire_extinguisher,,Objects,11.0,12.1
🛒,shopping cart,shopping_cart,,Objects,9.0,10.2
🚬,cigarette,smoking,cigarette,Objects,6.0,6.0
⚰️,coffin,coffin,funeral,Objects,4.1,9.1
🪦,headstone,headstone,,Objects,13.0,14.0
⚱️,funeral urn,funeral_urn,,Objects,4.1,9.1
🧿,nazar amulet,nazar_amulet,,Objects,11.0,12.1
🪬,hamsa,hamsa,,Objects,14.0,15.4
🗿,moai,moyai,stone,Objects,6.0,6.0
🪧,placard,placard,,Objects,13.0,14.0
🪪,identification card,identification_card,,Objects,14.0,15.4
🏧,ATM sign,atm,,Symbols,6.0,6.0
🚮,litter in bin sign,put_litter_in_its_place,,Symbols,6.0,6.0
🚰,potable water,potable_water,,Symbols,6.0,6.0
♿,wheelchair symbol,wheelchair,accessibility,Symbols,4.1,6.0
🚹,men’s room,mens,,Symbols,6.0,6.0
🚺,women’s room,womens,,Symbols,6.0,6.0
🚻,restroom,restroom,toilet,Symbols,6.0,6.0
🚼,baby symbol,baby_symbol,,Symbols,6.0,6.0
🚾,water closet,wc,toilet restroom,Symbols,6.0,6.0
🛂,passport control,passport_control,,Symbols,6.0,6.0
🛃,customs,customs,,Symbols,6.0,6.0
🛄,baggage claim,baggage_claim,airport,Symbols,6.0,6.0
🛅,left luggage,left_luggage,,Symbols,6.0,6.0
⚠️,warning,warning,wip,Symbols,4.0,6.0
🚸,children crossing,children_crossing,,Symbols,6.0,6.0
⛔,no entry,no_entry,limit,Symbols,5.2,6.0
🚫,prohibited,no_entry_sign,block forbidden,Symbols,6.0,6.0
🚳,no bicycles,no_bicycles,,Symbols,6.0,6.0
🚭,no smoking,no_smoking,,Symbols,6.0,6.0
🚯,no littering,do_not_litter,,Symbols,6.0,6.0
🚱,non-potable water,non-potable_water,,Symbols,6.0,6.0
🚷,no pedestrians,no_pedestrians,,Symbols,6.0,6.0
📵,no mobile phones,no_mobile_phones,,Symbols,6.0,6.0
🔞,no one under eighteen,underage,,Symbols,6.0,6.0
☢️,radioactive,radioactive,,Symbols,,9.1
☣️,biohazard,biohazard,,Symbols,,9.1
⬆️,up arrow,arrow_up,,Symbols,4.0,6.0
↗️,up-right arrow,arrow_upper_right,,Symbols,,6.0
➡️,right arrow,arrow_right,,Symbols,,6.0
↘️,down-right arrow,arrow_lower_right,,Symbols,,6.0
⬇️,down arrow,arrow_down,,Symbols,4.0,6.0
↙️,down-left arrow,arrow_lower_left,,Symbols,,6.0
⬅️,left arrow,arrow_left,,Symbols,4.0,6.0
↖️,up-left arrow,arrow_upper_left,,Symbols,,6.0
↕️,up-down arrow,arrow_up_down,,Symbols,,6.0
↔️,left-right arrow,left_right_arrow,,Symbols,,6.0
↩️,right arrow curving left,leftwards_arrow_with_hook,return,Symbols,,6.0
↪️,left arrow curving right,arrow_right_hook,,Symbols,,6.0
⤴️,right arrow curving up,arrow_heading_up,,Symbols,,6.0
⤵️,right arrow curving down,arrow_heading_down,,Symbols,,6.0
🔃,clockwise vertical arrows,arrows_clockwise,,Symbols,6.0,6.0
🔄,counterclockwise arrows button,arrows_counterclockwise,sync,Symbols,6.0,6.0
🔙,BACK arrow,back,,Symbols,6.0,6.0
🔚,END arrow,end,,Symbols,6.0,6.0
🔛,ON! arrow,on,,Symbols,6.0,6.0
🔜,SOON arrow,soon,,Symbols,6.0,6.0
🔝,TOP arrow,top,,Symbols,6.0,6.0
🛐,place of worship,place_of_worship,,Symbols,8.0,9.1
⚛️,atom symbol,atom_symbol,,Symbols,4.1,9.1
🕉️,om,om,,Symbols,7.0,9.1
✡️,star of David,star_of_david,,Symbols,,9.1
☸️,wheel of dharma,wheel_of_dharma,,Symbols,,9.1
☯️,yin yang,yin_yang,,Symbols,,9.1
✝️,latin cross,latin_cross,,Symbols,,9.1
☦️,orthodox cross,orthodox_cross,,Symbols,,9.1
☪️,star and crescent,star_and_crescent,,Symbols,,9.1
☮️,peace symbol,peace_symbol,,Symbols,,9.1
🕎,menorah,menorah,,Symbols,8.0,9.1
🔯,dotted six-pointed star,six_pointed_star,,Symbols,6.0,6.0
🪯,khanda,khanda,,Symbols,15.0,16.4
♈,Aries,aries,,Symbols,,6.0
♉,Taurus,taurus,,Symbols,,6.0
♊,Gemini,gemini,,Symbols,,6.0
♋,Cancer,cancer,,Symbols,,6.0
♌,Leo,leo,,Symbols,,6.0
♍,Virgo,virgo,,Symbols,,6.0
♎,Libra,libra,,Symbols,,6.0
♏,Scorpio,scorpius,,Symbols,,6.0
♐,Sagittarius,sagittarius,,Symbols,,6.0
♑,Capricorn,capricorn,,Symbols,,6.0
♒,Aquarius,aquarius,,Symbols,,6.0
♓,Pisces,pisces,,Symbols,,6.0
⛎,Ophiuchus,ophiuchus,,Symbols,6.0,6.0
🔀,shuffle tracks button,twisted_rightwards_arrows,shuffle,Symbols,6.0,6.0
🔁,repeat button,repeat,loop,Symbols,6.0,6.0
🔂,repeat single button,repeat_one,,Symbols,6.0,6.0
▶️,play button,arrow_forward,,Symbols,,6.0
⏩,fast-forward button,fast_forward,,Symbols,6.0,6.0
⏭️,next track button,next_track_button,,Symbols,6.0,9.1
⏯️,play or pause button,play_or_pause_button,,Symbols,6.0,9.1
◀️,reverse button,arrow_backward,,Symbols,,6.0
⏪,fast reverse button,rewind,,Symbols,6.0,6.0
⏮️,last track button,previous_track_button,,Symbols,6.0,9.1
🔼,upwards button,arrow_up_small,,Symbols,6.0,6.0
⏫,fast up button,arrow_double_up,,Symbols,6.0,6.0
🔽,downwards button,arrow_down_small,,Symbols,6.0,6.0
⏬,fast down button,arrow_double_down,,Symbols,6.0,6.0
⏸️,pause button,pause_button,,Symbols,7.0,9.1
⏹️,stop button,stop_button,,Symbols,7.0,9.1
⏺️,record button,record_button,,Symbols,7.0,9.1
⏏️,eject button,eject_button,,Symbols,11.0,12.1
🎦,cinema,cinema,film movie,Symbols,6.0,6.0
🔅,dim button,low_brightness,,Symbols,6.0,6.0
🔆,bright button,high_brightness,,Symbols,6.0,6.0
📶,antenna bars,signal_strength,wifi,Symbols,6.0,6.0
🛜,wireless,wireless,wifi,Symbols,15.0,16.4
📳,vibration mode,vibration_mode,,Symbols,6.0,6.0
📴,mobile phone off,mobile_phone_off,mute off,Symbols,6.0,6.0
♀️,female sign,female_sign,,Symbols,11.0,12.1
♂️,male sign,male_sign,,Symbols,11.0,12.1
⚧️,transgender symbol,transgender_symbol,,Symbols,13.0,14.0
✖️,multiply,heavy_multiplication_x,,Symbols,,6.0
➕,plus,heavy_plus_sign,,Symbols,6.0,6.0
➖,minus,heavy_minus_sign,,Symbols,6.0,6.0
➗,divide,heavy_division_sign,,Symbols,6.0,6.0
🟰,heavy equals sign,heavy_equals_sign,,Symbols,14.0,15.4
♾️,infinity,infinity,,Symbols,11.0,12.1
‼️,double exclamation mark,bangbang,,Symbols,,6.0
⁉️,exclamation question mark,interrobang,,Symbols,3.0,6.0
❓,red question mark,question,confused,Symbols,6.0,6.0
❔,white question mark,grey_question,,Symbols,6.0,6.0
❕,white exclamation mark,grey_exclamation,,Symbols,6.0,6.0
❗,red exclamation mark,exclamation heavy_exclamation_mark,bang,Symbols,5.2,6.0
〰️,wavy dash,wavy_dash,,Symbols,,6.0
💱,currency exchange,currency_exchange,,Symbols,6.0,6.0
💲,heavy dollar sign,heavy_dollar_sign,,Symbols,6.0,6.0
⚕️,medical symbol,medical_symbol,,Symbols,11.0,12.1
♻️,recycling symbol,recycle,environment green,Symbols,3.2,6.0
⚜️,fleur-de-lis,fleur_de_lis,,Symbols,4.1,9.1
🔱,trident emblem,trident,,Symbols,6.0,6.0
📛,name badge,name_badge,,Symbols,6.0,6.0
🔰,Japanese symbol for beginner,beginner,,Symbols,6.0,6.0
⭕,hollow red circle,o,,Symbols,5.2,6.0
✅,check mark button,white_check_mark,,Symbols,6.0,6.0
☑️,check box with check,ballot_box_with_check,,Symbols,,6.0
✔️,check mark,heavy_check_mark,,Symbols,,6.0
❌,cross mark,x,,Symbols,6.0,6.0
❎,cross mark button,negative_squared_cross_mark,,Symbols,6.0,6.0
➰,curly loop,curly_loop,,Symbols,6.0,6.0
➿,double curly loop,loop,,Symbols,6.0,6.0
〽️,part alternation mark,part_alternation_mark,,Symbols,3.2,6.0
✳️,eight-spoked asterisk,eight_spoked_asterisk,,Symbols,,6.0
✴️,eight-pointed star,eight_pointed_black_star,,Symbols,,6.0
❇️,sparkle,sparkle,,Symbols,,6.0
©️,copyright,copyright,,Symbols,,6.0
®️,registered,registered,,Symbols,,6.0
™️,trade mark,tm,trademark,Symbols,,6.0
#️⃣,keycap: #,hash,number,Symbols,,6.0
*️⃣,keycap: *,asterisk,,Symbols,,9.1
0️⃣,keycap: 0,zero,,Symbols,,6.0
1️⃣,keycap: 1,one,,Symbols,,6.0
2️⃣,keycap: 2,two,,Symbols,,6.0
3️⃣,keycap: 3,three,,Symbols,,6.0
4️⃣,keycap: 4,four,,Symbols,,6.0
5️⃣,keycap: 5,five,,Symbols,,6.0
6️⃣,keycap: 6,six,,Symbols,,6.0
7️⃣,keycap: 7,seven,,Symbols,,6.0
8️⃣,keycap: 8,eight,,Symbols,,6.0
9️⃣,keycap: 9,nine,,Symbols,,6.0
🔟,keycap: 10,keycap_ten,,Symbols,6.0,6.0
🔠,input latin uppercase,capital_abcd,letters,Symbols,6.0,6.0
🔡,input latin lowercase,abcd,,Symbols,6.0,6.0
🔢,input numbers,1234,numbers,Symbols,6.0,6.0
🔣,input symbols,symbols,,Symbols,6.0,6.0
🔤,input latin letters,abc,alphabet,Symbols,6.0,6.0
🅰️,A button (blood type),a,,Symbols,6.0,6.0
🆎,AB button (blood type),ab,,Symbols,6.0,6.0
🅱️,B button (blood type),b,,Symbols,6.0,6.0
🆑,CL button,cl,,Symbols,6.0,6.0
🆒,COOL button,cool,,Symbols,6.0,6.0
🆓,FREE button,free,,Symbols,6.0,6.0
ℹ️,information,information_source,,Symbols,3.0,6.0
🆔,ID button,id,,Symbols,6.0,6.0
Ⓜ️,circled M,m,,Symbols,,6.0
🆕,NEW button,new,fresh,Symbols,6.0,6.0
🆖,NG button,ng,,Symbols,6.0,6.0
🅾️,O button (blood type),o2,,Symbols,6.0,6.0
🆗,OK button,ok,yes,Symbols,6.0,6.0
🅿️,P button,parking,,Symbols,5.2,6.0
🆘,SOS button,sos,help emergency,Symbols,6.0,6.0
🆙,UP! button,up,,Symbols,6.0,6.0
🆚,VS button,vs,,Symbols,6.0,6.0
🈁,Japanese “here” button,koko,,Symbols,6.0,6.0
🈂️,Japanese “service charge” button,sa,,Symbols,6.0,6.0
🈷️,Japanese “monthly amount” button,u6708,,Symbols,6.0,6.0
🈶,Japanese “not free of charge” button,u6709,,Symbols,6.0,6.0
🈯,Japanese “reserved” button,u6307,,Symbols,,6.0
🉐,Japanese “bargain” button,ideograph_advantage,,Symbols,6.0,6.0
🈹,Japanese “discount” button,u5272,,Symbols,6.0,6.0
🈚,Japanese “free of charge” button,u7121,,Symbols,,6.0
🈲,Japanese “prohibited” button,u7981,,Symbols,6.0,6.0
🉑,Japanese “acceptable” button,accept,,Symbols,6.0,6.0
🈸,Japanese “application” button,u7533,,Symbols,6.0,6.0
🈴,Japanese “passing grade” button,u5408,,Symbols,6.0,6.0
🈳,Japanese “vacancy” button,u7a7a,,Symbols,6.0,6.0
㊗️,Japanese “congratulations” button,congratulations,,Symbols,,6.0
㊙️,Japanese “secret” button,secret,,Symbols,,6.0
🈺,Japanese “open for business” button,u55b6,,Symbols,6.0,6.0
🈵,Japanese “no vacancy” button,u6e80,,Symbols,6.0,6.0
🔴,red circle,red_circle,,Symbols,6.0,6.0
🟠,orange circle,orange_circle,,Symbols,12.0,13.0
🟡,yellow circle,yellow_circle,,Symbols,12.0,13.0
🟢,green circle,green_circle,,Symbols,12.0,13.0
🔵,blue circle,large_blue_circle,,Symbols,6.0,6.0
🟣,purple circle,purple_circle,,Symbols,12.0,13.0
🟤,brown circle,brown_circle,,Symbols,12.0,13.0
⚫,black circle,black_circle,,Symbols,4.1,6.0
⚪,white circle,white_circle,,Symbols,4.1,6.0
🟥,red square,red_square,,Symbols,12.0,13.0
🟧,orange square,orange_square,,Symbols,12.0,13.0
🟨,yellow square,yellow_square,,Symbols,12.0,13.0
🟩,green square,green_square,,Symbols,12.0,13.0
🟦,blue square,blue_square,,Symbols,12.0,13.0
🟪,purple square,purple_square,,Symbols,12.0,13.0
🟫,brown square,brown_square,,Symbols,12.0,13.0
⬛,black large square,black_large_square,,Symbols,5.1,6.0
⬜,white large square,white_large_square,,Symbols,5.1,6.0
◼️,black medium square,black_medium_square,,Symbols,3.2,6.0
◻️,white medium square,white_medium_square,,Symbols,3.2,6.0
◾,black medium-small square,black_medium_small_square,,Symbols,3.2,6.0
◽,white medium-small square,white_medium_small_square,,Symbols,3.2,6.0
▪️,black small square,black_small_square,,Symbols,,6.0
▫️,white small square,white_small_square,,Symbols,,6.0
🔶,large orange diamond,large_orange_diamond,,Symbols,6.0,6.0
🔷,large blue diamond,large_blue_diamond,,Symbols,6.0,6.0
🔸,small orange diamond,small_orange_diamond,,Symbols,6.0,6.0
🔹,small blue diamond,small_blue_diamond,,Symbols,6.0,6.0
🔺,red triangle pointed up,small_red_triangle,,Symbols,6.0,6.0
🔻,red triangle pointed down,small_red_triangle_down,,Symbols,6.0,6.0
💠,diamond with a dot,diamond_shape_with_a_dot_inside,,Symbols,6.0,6.0
🔘,radio button,radio_button,,Symbols,6.0,6.0
🔳,white square button,white_square_button,,Symbols,6.0,6.0
🔲,black square button,black_square_button,,Symbols,6.0,6.0
🏁,chequered flag,checkered_flag,milestone finish,Flags,6.0,6.0
🚩,triangular flag,triangular_flag_on_post,,Flags,6.0,6.0
🎌,crossed flags,crossed_flags,,Flags,6.0,6.0
🏴,black flag,black_flag,,Flags,7.0,9.1
🏳️,white flag,white_flag,,Flags,7.0,9.1
🏳️‍🌈,rainbow flag,rainbow_flag,pride,Flags,6.0,10.0
🏳️‍⚧️,transgender flag,transgender_flag,,Flags,13.0,14.0
🏴‍☠️,pirate flag,pirate_flag,,Flags,11.0,12.1
🇦🇨,flag: Ascension Island,ascension_island,,Flags,11.0,12.1
🇦🇩,flag: Andorra,andorra,,Flags,6.0,8.3
🇦🇪,flag: United Arab Emirates,united_arab_emirates,,Flags,6.0,8.3
🇦🇫,flag: Afghanistan,afghanistan,,Flags,6.0,8.3
🇦🇬,flag: Antigua & Barbuda,antigua_barbuda,,Flags,6.0,8.3
🇦🇮,flag: Anguilla,anguilla,,Flags,6.0,8.3
🇦🇱,flag: Albania,albania,,Flags,6.0,8.3
🇦🇲,flag: Armenia,armenia,,Flags,6.0,8.3
🇦🇴,flag: Angola,angola,,Flags,6.0,8.3
🇦🇶,flag: Antarctica,antarctica,,Flags,6.0,9.0
🇦🇷,flag: Argentina,argentina,,Flags,6.0,8.3
🇦🇸,flag: American Samoa,american_samoa,,Flags,6.0,8.3
🇦🇹,flag: Austria,austria,,Flags,6.0,8.3
🇦🇺,flag: Australia,australia,,Flags,6.0,8.3
🇦🇼,flag: Aruba,aruba,,Flags,6.0,8.3
🇦🇽,flag: Åland Islands,aland_islands,,Flags,6.0,9.0
🇦🇿,flag: Azerbaijan,azerbaijan,,Flags,6.0,8.3
🇧🇦,flag: Bosnia & Herzegovina,bosnia_herzegovina,,Flags,6.0,8.3
